id,name,value
1,Pendapatan,1055651797
1.1,Pendapatan Asli Desa,46500000
1.2,Dana Desa,642055012
1.3,Bagian dari hasil pajak &retribusi daerah kabupaten/ kota,9329000
1.4,Alokasi Dana Desa ,314367785
1.5,Bantuan Keuangan,43400000
2,Belanja,1055651797
2.1,Bidang Penyelenggaraan Pemerintah Desa,316499000
2.1.1,"Penghasilan Tetap, Oprasional Dan Tunjangan",276720000
2.1.1.1,Penghasilan Tetap Kepala Desa & Perangkat Desa,205260000
2.1.1.2,Penghasilan Tambahan/ Tunjangan Kepala Desa dan Perangkat,15000000
2.1.1.3,"Purnabakti Kep. Desa, Sekretaris & Perangkat Desa",12600000
2.1.1.4,Oprasional/Tunjangan  BPD dan Anggota,27300000
2.1.1.5,Oprasional/Isentif  RT dan RW,14160000
2.1.1.6,Oprasional    Seleksi Parades,2400000
2.1.2,Operasional  Pemerintahan Desa /Perkantoran,39779000
2.2,Bidang Pelaksanaan Pembangunan  Desa,661980000
2.2.1,Kegiatan  Floor Lantai Desa (Penyelesaian  Kantor Desa),34980000
2.2.2,Pem. Rabat Beton Jl. Desa Kp. Cinunjang  Rt. 03/02  (Blok. Cilingga-Rahong),108000000
2.2.3,Pem. Rabat Beton Jl. Desa Kp.Mekarjaya Rt. 03/03   Blok. Cirapih  ,108000000
2.2.4,Pem. Rabat Beton Jl. Desa Kp. Cinangsi Rt. 1-2/05  (Blok. Makam&Tnj.Bilik),158000000
2.2.5,Pem. Rabat Beton Jl. Desa Kp. Mekarsari Rt. 01/06   Blok. Tamansari,108000000
2.2.6,Pem. Jalan Setapak Kp. Mekarjaya Rt. 01/04  (Blok Cikujang ),23000000
2.2.7,Pem. Jl. Setapak Kp. Mekarjaya Rt. 02/03  (Blok Cipancur),23000000
2.2.8,Pem. Jalan Setapak Kp. Mekarsari Rt. 03/06 ( Blok Cisarua),38000000
2.2.9,Pemadatan Jl. Desa Kp. Cinunjang Rt. 01/02  (Blok Pasir Salam),38000000
2.3,Bidang Pembinaan Kemasyarakatan,16217785
2.3.1,Kegiatan Pembinaan Keamanan & Ketertiban,6600000
2.3.2,Kegiatan   Keagamaan  (PHB Keagamaan),8117785
2.4,Bidang Pemberdayaan Masyarakat,60955012
2.4.1,Kegiatan Pelatihan Kapasitas Perangkat Desa,5000000
2.4.2,Peningkatan Kapasitas Kader Posyandu,5400000
2.4.3,Pelatihan Kapasitas Pengelola BUMDes,5000000
2.4.4,Pelatihan Kelompok Tani ,7500000
2.4.5,Pemberdayaan Masyarakat Lain,38055012
